iter	RMSE
0	75282.36156
1	73499.41298
2	71586.05446
3	69792.33208
4	67997.62557
5	66218.32687
6	64558.13732
7	63030.23363
8	61564.68487
9	60107.36185
10	58716.81575
11	57575.66937
12	56457.73892
13	55225.06385
14	54002.69522
15	52835.08026
16	51739.72607
17	50597.97352
18	49588.30369
19	48616.82349
20	47753.36664
21	46879.2383
22	45967.59946
23	45155.43563
24	44379.79206
25	43614.44507
26	42940.76581
27	42230.66008
28	41489.31268
29	40830.94544
30	40243.16302
31	39680.42972
32	39215.81091
33	38660.17058
34	38165.02549
35	37605.88483
36	37080.64959
37	36616.60222
38	36207.97349
39	35675.90926
40	35218.40775
41	34786.93909
42	34368.99042
43	33996.08633
44	33677.14182
45	33298.21395
46	32902.4616
47	32583.01958
48	32240.67187
49	31890.70731
50	31598.61336
51	31241.53474
52	30948.53044
53	30627.6262
54	30326.08368
55	30065.43546
56	29741.27678
57	29520.38796
58	29310.40964
59	29089.10265
60	28792.3781
61	28488.47639
62	28254.46923
63	27981.45959
64	27787.97697
65	27591.58507
66	27340.34915
67	27136.28724
68	26959.4133
69	26798.23649
70	26636.13204
71	26403.08591
72	26166.89445
73	25992.03411
74	25825.39464
75	25638.98297
76	25450.28694
77	25186.85828
78	25017.97846
79	24846.62985
80	24700.74471
81	24547.78199
82	24419.03849
83	24303.65042
84	24183.70217
85	24049.69447
86	23920.13632
87	23802.36786
88	23725.20257
89	23594.43229
90	23462.14395
91	23375.88217
92	23251.77257
93	23128.58342
94	22996.67713
95	22887.922
96	22723.49864
97	22620.64922
98	22512.49487
99	22400.18489
100	22296.33506
101	22175.18027
102	22098.99264
103	22072.82345
104	21988.62894
105	21894.13674
106	21808.23929
107	21696.83934
108	21645.04709
109	21529.71575
110	21415.42196
111	21347.25557
112	21264.28451
113	21194.0932
114	21124.69964
115	21099.02544
116	21004.02502
117	20916.0214
118	20847.68713
119	20757.90189
120	20717.19858
121	20656.66481
122	20618.34581
123	20550.52937
124	20485.0927
125	20412.83402
126	20351.18747
127	20276.14031
128	20184.26351
129	20112.51036
130	20053.10375
131	19988.31887
132	19945.68368
133	19868.35886
134	19811.46832
135	19791.12282
136	19737.47463
137	19663.80766
138	19603.02104
139	19554.21543
140	19483.57157
141	19410.79555
142	19398.85152
143	19339.82624
144	19296.11364
145	19214.69956
146	19126.46599
147	19067.38512
148	18999.46524
149	18978.04308
150	18923.88237
151	18909.41337
152	18885.58485
153	18831.49398
154	18782.68023
155	18762.14226
156	18714.89495
157	18654.18342
158	18633.76243
159	18608.6241
160	18550.13493
161	18508.15325
162	18441.07306
163	18430.79674
164	18398.13188
165	18367.503
